time,agegrp,sim_low95,sim_median,sim_up95
991,4,0.9485082913486257,1.0264720252533284,1.113298685448192
991,5,4.233884741968593,4.576266258788339,4.950001216706836
998,1,2.0648746447547075,2.220123068181141,2.3877234409782226
998,2,0.7796337387983764,0.8609830682863568,0.9571971679662661
998,3,0.4638776335022991,0.504581412564781,0.5513729795299013
998,4,0.7186642949991183,0.7801113217424038,0.8478304989280248
998,5,3.237354904279893,3.5095761712431752,3.812941574741485
1005,1,1.7287753084192128,1.8601421509910798,2.0012509346880263
1005,2,0.6193476351775609,0.6828191482770293,0.7574159832531933
1005,3,0.34242221980720045,0.3743607703465175,0.4109991541089611
1005,4,0.5333408226886236,0.5814382784231209,0.6343506325018313
1005,5,2.4134169441870466,2.62920730518249,2.8671012170323933
1012,1,1.4373017419999894,1.5481013767978002,1.6662134145261613
1012,2,0.4920725605428598,0.5416047494949855,0.6004733981999367
1012,3,0.2496165720859126,0.2744038918916918,0.3026803069900374
1012,4,0.3899338869896916,0.42708349807448576,0.4688772377877352
1012,5,1.7637502041700222,1.9314468438865036,2.117837162817479
1019,1,1.187204665017171,1.2805232907780768,1.380241780160127
1019,2,0.3898196347066426,0.4294327403255527,0.47651615000675585
1019,3,0.18028751249121652,0.19920668586771145,0.2210552397264167
1019,4,0.28137046601269117,0.3100195152771482,0.34237389487599695
1019,5,1.2698521565530392,1.3968676066203694,1.5406339468036134
1026,1,0.9759676991584376,1.0532275184832156,1.136996515433237
1026,2,0.30792810273431326,0.3399982004747877,0.37783017101002003
1026,3,0.12895890088178166,0.14344738038834834,0.16022780619378388
1026,4,0.201150533135854,0.22296928029048074,0.2483481786240945
1026,5,0.900917072637454,0.9987018062537905,1.1107981196612688
1033,1,0.796685683007897,0.8620628625331983,0.9328283143358722
1033,2,0.2428480181416869,0.2687303861894629,0.29988339271436837
1033,3,0.09155456511369012,0.10274236452225845,0.11609428862453239
1033,4,0.1428537284224057,0.15946535629761743,0.17952133456297578
1033,5,0.6321606091821742,0.7076440182652342,0.7962921309599252
1040,1,0.6469238152280316,0.7027757146537622,0.763937735440304
1040,2,0.19090300479314673,0.2120376381740003,0.2381392100919422
1040,3,0.06459799396631385,0.07325798415427154,0.08391724897710738
1040,4,0.10037409846205085,0.1134850019449052,0.1294271124299475
1040,5,0.43970160208353853,0.49788680177460065,0.567952903141264
1047,1,0.5229844519236911,0.5709188635911687,0.6247095673921081
1047,2,0.14945404985946956,0.16720626508419462,0.18917655185720572
1047,3,0.04535198398190825,0.05213555129795,0.06054636604391755
1047,4,0.07029946143939209,0.0805600965618164,0.09317769024256312
1047,5,0.3042643703664623,0.3491473561141191,0.40361993665405554
1054,1,0.4213554323804675,0.46285013065811237,0.5102497447511689
1054,2,0.11660765497000268,0.13173324959132443,0.1504936556418695
1054,3,0.03172682474392856,0.037071537855540224,0.04371764233077613
1054,4,0.049099050693196235,0.05716606545260126,0.06721021694395538
1054,5,0.20948754648415063,0.24447226344499431,0.2869868895470391
1061,1,0.33876885035013515,0.3748184898439976,0.4171615017327436
1061,2,0.09100838136736372,0.10392566078226341,0.12014934081413603
1061,3,0.022228851689186587,0.02640298176486157,0.031634968834589876
1061,4,0.034346643764401524,0.040661476730670915,0.04854498295208015
1061,5,0.14411038462562292,0.17125659578015606,0.20464724211316726
1068,1,0.27169610192078647,0.3038018924166962,0.3422981919482535
1068,2,0.07113384466057283,0.08213349640615222,0.0960434782877392
1068,3,0.015623378568148253,0.01888239150369224,0.023033096795245393
1068,4,0.024099298540282442,0.029067256747681285,0.03535685247524045
1068,5,0.09962771084986277,0.12062263118728492,0.14687097118357964
1075,1,0.21763897852070896,0.24660785083699027,0.28125451389218875
1075,2,0.055793628937158335,0.06518977075900582,0.07732382411518969
1075,3,0.01103231185763147,0.013597993023135701,0.01692678518024779
1075,4,0.01703251910284449,0.020925963059937505,0.025990855020323125
1075,5,0.0692952196735886,0.08552681116229846,0.10624126054285248
1082,1,0.1751214308963593,0.20094069171400777,0.23230263244733754
1082,2,0.04384100191831192,0.05208383548537299,0.0628899883173292
1082,3,0.007861054906503765,0.009887882545946958,0.012588895144163474
1082,4,0.012145143536690531,0.015219644195308458,0.01933678506950274
1082,5,0.04872393159650911,0.06128459240927251,0.07771483283884605
1089,1,0.14183511043578803,0.16501291096639795,0.1936851636653073
1089,2,0.03475608139676437,0.041990515437037225,0.05153795126051275
1089,3,0.0056576544084869776,0.0072848875642777654,0.009501564550175146
1089,4,0.008777812954370813,0.011234395287866624,0.014611593662699445
1089,5,0.03459071009853869,0.04446092357922504,0.05774023424368377
1096,1,0.11594105142857483,0.13681186489830094,0.1627285455101794
1096,2,0.02784851051863116,0.034233640137082966,0.04269324345807503
1096,3,0.0041507240391266504,0.005451468230250236,0.0072823126320364084
1096,4,0.00643490463134594,0.008425826065519792,0.011230038412791802
1096,5,0.02493559087751898,0.03283486755990178,0.04358281053747493
1103,1,0.09543027281409037,0.11469903049789149,0.1385465312592977
1103,2,0.022659613972179637,0.028347512372637166,0.035931190334460156
1103,3,0.0030963883080756174,0.004159296023496633,0.005697302618674772
1103,4,0.00482244315477127,0.006447285944650523,0.008776070364325747
1103,5,0.018377346360092642,0.02472215971001248,0.03364989186584398
1110,1,0.07989967871965609,0.09757879507093306,0.11966125292599773
1110,2,0.018769723736519542,0.02387568663999975,0.030739415240953784
1110,3,0.0023660922933591575,0.0032463755126856363,0.00454616984906996
1110,4,0.003697829499011165,0.0050484748964237675,0.007023127868044168
1110,5,0.013859419076408754,0.019068457216065947,0.026523440840032577
1117,1,0.06824072990239806,0.08441726169239291,0.10529791230725019
1117,2,0.0158793086897145,0.020509338688523393,0.026838711242770253
1117,3,0.0018579118578454879,0.002600883714245517,0.0037166384233333466
1117,4,0.0029065293664680136,0.004053920567060453,0.005738194338937217
1117,5,0.010748785412266522,0.015098425815620023,0.021475101839152532
1124,1,0.059340464501506825,0.07452477729912618,0.09441695753209538
1124,2,0.013720233460088053,0.018008440269236595,0.023941810667913222
1124,3,0.001501194825978476,0.0021429403993541707,0.0031093254943811237
1124,4,0.0023600600511422443,0.003349307223179137,0.004823550510388564
1124,5,0.008632926930217506,0.0123185166998084,0.017859674836924494
1131,1,0.05283024047467235,0.06736219083458769,0.08643329207395051
1131,2,0.012213468468837462,0.016231277219739063,0.021894980607438566
1131,3,0.0012562194542974604,0.0018235348726993235,0.00268482684496273
1131,4,0.00197844919792803,0.002857421931741269,0.004185503688330305
1131,5,0.007138572981033635,0.010375905682418363,0.01528549770162178
1138,1,0.04834506390810852,0.06246016261405621,0.08109714353249413
1138,2,0.011199054321318307,0.015062538839161853,0.02053247375573166
1138,3,0.0010904712034085523,0.0016056019125905091,0.0023908094111307053
1138,4,0.001719212070324299,0.002519069756271006,0.003743337081662303
1138,5,0.006137594526951862,0.009049461089599163,0.013484259890517197
1145,1,0.045642834323624246,0.05958752496200552,0.07800810181361258
1145,2,0.010603825286148538,0.014418282838108969,0.019828047022274635
1145,3,0.0009839267333333608,0.001466307039520413,0.0022113569330302644
1145,4,0.0015526482288395276,0.0023026106216287945,0.0034638294175734956
1145,5,0.005482754403972287,0.008186553297485806,0.012296532407494237
1152,1,0.04452059913324473,0.05866852322873229,0.07734018185179743
