quarter,agegrp,sim_low95,sim_median,sim_up95
13,9,1.7955241974982812,2.3784923893324446,3.140899943882721
13,10,1.4825156069127108,1.9643385908409279,2.5984143354388203
13,11,1.2521595945960255,1.6600113922364494,2.195289999140944
13,12,1.082570325486731,1.4343659729866653,1.8945864649128938
13,13,35.364829775052904,43.170075519475084,52.05737322922338
13,14,10.37748015228288,13.039292997153218,16.36324041003347
13,15,0.5211839544458519,0.6674446166514865,0.8589850074983898
13,16,0.1885056207633868,0.24870168345173857,0.32888298360325435
13,17,0.14096060093972446,0.19121033711560304,0.2609295059365964
13,18,0.06619249540631772,0.09162625478846449,0.12815680333999105
13,19,0.08884346104623524,0.1242866230142037,0.17535214439917016
13,20,0.09405206111968818,0.12587895394331888,0.1700062475487071
13,21,0.12992991184092995,0.1760864271905564,0.24103290818618095
13,22,0.2645572320737481,0.36098941218625297,0.49662618673733966
13,23,0.5214399184257834,0.7178055541085311,0.9890851984538793
13,24,0.7080850596000483,0.9880953433075625,1.3746413555719943
13,25,2.1584407115290762,2.9369447777380464,3.9827329290792637
14,1,216.2782882212121,240.30059330142595,267.6418974442461
14,2,230.90920708665033,255.96666864153443,284.5595519770752
14,3,240.11895364339745,266.3082149559115,295.25149263222966
14,4,189.41780166089953,209.9076629557914,232.73537842944353
14,5,148.54834126621637,164.71480462755483,182.44436278324622
14,6,116.94764859946042,129.52395638740506,143.63598692421425
14,7,95.34012594857123,105.62186541925792,117.232872627302
14,8,77.78059262213564,86.25242788409261,95.59675302825828
14,9,63.6029448483889,70.64111693758136,78.38520622887285
14,10,52.65588739046708,58.53163000268857,65.04315634190137
14,11,44.297769847742956,49.380520307201834,54.98974939761419
14,12,37.98478148390486,42.53283647591045,47.3510788543224
14,13,1160.8053309006884,1303.730412263153,1446.3190767115123
14,14,478.5229064891828,534.6709262413957,592.0291646380343
14,15,24.86644456739745,27.684481476518123,30.734865915455625
14,16,8.370985152338713,9.294380618477962,10.330822105132624
14,17,5.199345066745793,5.821308164968991,6.535859511334924
14,18,2.154968667439187,2.4732240411060245,2.86598369684855
14,19,2.75721677792927,3.207682128745719,3.7719972962666395
14,20,3.247864103801198,3.6429252335017117,4.089096576214963
14,21,4.188302123638691,4.741517283053771,5.3784421433844285
14,22,8.273739364291355,9.405943914203963,10.733956645631054
14,23,15.717726515783568,17.923031125384554,20.484905833083086
14,24,19.758693300742557,22.762841012747614,26.359146400971245
14,25,67.36881923907413,75.86211712689516,85.51282269749973
15,1,2776.570267463001,2965.161841803474,3170.514071044429
15,2,3048.830586321303,3256.9047384235023,3472.745396028584
15,3,3181.1597461981696,3395.690743154525,3615.5004091983387
15,4,2500.0908346698525,2666.393443051812,2838.0042799534504
15,5,1953.3726865752865,2084.4367905112854,2221.1170966961
15,6,1532.6558442955043,1637.1812256520802,1746.622863394903
15,7,1246.3432014742427,1333.0897348572807,1422.9148235447283
15,8,1018.3013816132458,1089.1008985015042,1163.7141019000458
15,9,838.3551304169539,896.2476960962963,958.7487255900344
15,10,698.2123591003016,747.8336366148453,799.222524573191
15,11,591.1195711404436,634.1781513048552,679.8204202437294
15,12,507.91831627395715,547.753296251323,588.9902725002244
15,13,3038.6371473620466,3244.2101981894216,3463.8601374861128
15,14,1462.9362264240276,1565.9836861349168,1681.0120077173422
15,15,159.02611610362513,170.33030793568648,182.45054047999446
15,16,95.15916685286625,102.1288266982132,109.21726118604523
15,17,88.23226633628046,94.39163056283718,100.63951635159648
15,18,47.935390753611046,51.24590421299581,54.77597678076106
15,19,70.09494157307368,75.07148889548299,80.31731113877716
15,20,46.05545490640683,49.25289072775158,52.65216328619034
15,21,77.61676195005498,82.97382838894518,88.69316252106877
15,22,169.86549250983947,181.73685689459873,194.27406104791038
15,23,367.04170946528245,393.46381502089775,420.5964692507122
15,24,560.6991637818006,601.5744157191701,643.7017327444208
15,25,1396.4509699384414,1497.6923728272081,1600.540848708083
16,1,216.26863300084605,228.37008181999784,241.00107999044576
16,2,264.70738495948484,279.55451485931644,294.9052697590645
16,3,286.23013893461956,300.9455065180632,316.19391944960273
16,4,226.59464966945774,238.23962474624813,250.16031237516867
16,5,176.42875756528036,185.67965070471593,195.22854414337607
16,6,137.628485515197,145.01265892354087,152.79536074589655
16,7,109.19146559049217,115.23105438957148,121.537403819949
16,8,88.28710660184896,93.13934194197836,98.28218332727616
16,9,72.45796726685894,76.48884411052455,80.70563165968554
16,10,60.499644599547906,63.89470636214587,67.36228578736934
16,11,51.43364657875242,54.34051750481843,57.40354834356265
16,12,44.353769562863995,47.08787247334731,49.94553724200339
16,13,318.6651327322048,331.4925388092566,345.6183176381646
16,14,93.09810665116764,99.57978363289786,106.87313921892445
16,15,8.738749097914104,9.310600945738067,9.933063329659365
16,16,5.860825482211935,6.253798098779711,6.6564864277742695
16,17,6.664388010916322,7.070727371879389,7.487891312536016
16,18,4.073301074554135,4.305058405072687,4.540349711876395
16,19,6.361018834409491,6.702939923856597,7.055320376302923
16,20,3.8678077684617174,4.071944290080495,4.278905469135848
16,21,6.9162818896477924,7.278124376598585,7.649911389128185
16,22,15.77858052785311,16.58427221707138,17.41179208288297
16,23,36.627513232413634,38.49326796538692,40.386983447749465
16,24,59.145182453628976,62.176491392936846,65.27424500377313
16,25,136.40485680390836,143.36816114299089,150.56998406310458
